"","day","year","mo","da","collision_date","temp","dewp","slp","visib","wdsp","mxpsd","gust","max","min","prcp","fog","NUM_COLLISIONS","temp_mean"
"168",2,2015,1,6,2015-01-06,20.8,5.2,1025.2,8.8,10.3,21,31.1,28,19,0,0,777,23.5
"169",2,2014,1,21,2014-01-21,29.2,17.5,1012.1,8.5,12.6,22,28.9,46.9,23,0,1,1161,34.95
"170",3,2019,1,9,2019-01-09,44.4,39.6,997.6,5.6,13.4,22,34,46.9,28.9,0.12,1,514,37.9
"171",1,2019,1,7,2019-01-07,27.4,11.7,1024.8,10,17.4,22,31.1,45,21.9,0,0,583,33.45
"172",5,2016,1,22,2016-01-22,28,11.8,1020.4,10,13.1,22,29.9,35.1,21.9,0,0,702,28.5
"173",5,2013,1,4,2013-01-04,32.2,21.1,1015.2,10,11.3,22,29.9,41,24.1,0,0,505,32.55
"174",7,2015,1,25,2015-01-25,36.5,26.7,1000.4,9.4,16,22,32.1,45,33.1,0.9,0,406,39.05
"175",6,2014,1,11,2014-01-11,44.8,43,1019,4.4,13.4,22.9,32.1,51.8,37.9,0,1,465,44.85
"176",7,2015,1,4,2015-01-04,48.6,46.9,1015.4,1.9,15.5,22.9,28.9,54,30,0.21,1,381,42
"177",4,2013,1,24,2013-01-24,14.3,-1.9,1018.7,10,15.5,22.9,29.9,19.9,10,0,0,554,14.95
"178",2,2015,1,13,2015-01-13,32.6,25.6,1028.5,8.4,16.3,22.9,28.9,52,26.1,0.82,0,613,39.05
"179",4,2017,1,5,2017-01-05,36.4,19.7,1007.8,10,15.4,22.9,33,48,32,0,0,552,40
"180",7,2013,1,27,2013-01-27,21.7,4.7,1025.6,10,16.3,22.9,35,28.9,17.1,0,0,429,23
"181",7,2016,1,3,2016-01-03,44.4,29.4,1010.4,10,15.5,22.9,33,52,34,0,0,432,43
"182",7,2014,1,26,2014-01-26,26.8,15.4,1004.7,9.4,17.8,22.9,29.9,41,21,0.03,0,465,31
"183",1,2014,1,20,2014-01-20,41,27.9,1003.2,10,16.8,24.1,35,46.9,34,0,0,360,40.45
"184",6,2013,1,19,2013-01-19,35.9,26.6,1026.4,9.2,15.3,24.1,32.1,46.9,16,0,0,484,31.45
"185",5,2013,1,18,2013-01-18,28.1,16.6,1023.2,7.5,15,24.1,32.1,39.9,15.1,0.01,1,561,27.5
"186",3,2017,1,25,2017-01-25,41.1,35.1,995.2,8.5,17.4,24.1,33,55,37.9,0.4,0,576,46.45
"187",4,2015,1,1,2015-01-01,31.8,15.1,1018.6,9.9,13.6,24.1,33,39.9,21.9,0,0,395,30.9
"188",1,2015,1,26,2015-01-26,31.2,20.9,1015.7,6.7,12.7,24.1,31.1,43,26.1,0,0,484,34.55
"189",1,2016,1,4,2016-01-04,38.2,27.4,1011.5,10,13.5,24.1,31.1,52,34,0,0,601,43
"190",3,2020,1,8,2020-01-08,37.2,31.1,1009.8,8.4,14.1,24.1,35,43,33.1,0.49,1,451,38.05
"191",1,2016,1,11,2016-01-11,43.2,30.5,1005.5,8.4,17.5,24.1,31.1,57.9,35.1,2.17,1,680,46.5
"192",5,2015,1,16,2015-01-16,34.5,23.4,1008.6,10,14.9,25.1,34,39.9,28.9,0.02,0,563,34.4
"193",6,2015,1,24,2015-01-24,38.5,34.8,1003.3,6.7,12.4,25.1,33,45,27,0.23,0,428,36
"194",7,2015,1,18,2015-01-18,40,32.8,1021.4,9.2,13.4,25.1,31.1,50,14,0,0,961,32
"195",1,2015,1,19,2015-01-19,41.7,36,1005,8.2,13.5,25.1,46,50,30.9,0.26,0,496,40.45
