date,year,mo,da,temp,dewp,slp,visib,wdsp,mxpsd,gust
2012-01-01,2012,01,01,42.3,40.5,1005.7,999.9,11.0,15.9,21.0
2012-01-01,2012,01,01,15.0,11.2,1015.7,999.9,999.9,999.9,999.9
2012-01-01,2012,01,01,79.8,62.2,9999.9,999.9,3.3,8.0,999.9
2012-01-01,2012,01,01,22.9,12.2,1025.6,999.9,3.2,7.0,999.9
2012-01-01,2012,01,01,72.6,59.2,1015.8,999.9,11.4,15.0,999.9
2012-01-01,2012,01,01,67.1,65.2,1014.8,999.9,5.5,9.9,999.9
2012-01-01,2012,01,01,77.1,35.6,9999.9,999.9,4.0,5.1,999.9
2012-01-01,2012,01,01,17.9,12.3,1024.6,999.9,15.0,21.0,28.0
2012-01-01,2012,01,01,8.6,-0.1,972.8,999.9,5.8,8.9,999.9
2012-01-01,2012,01,01,37.3,36.9,1019.4,999.9,0.7,1.9,999.9
2012-01-01,2012,01,01,2.3,9999.9,9999.9,999.9,7.3,15.0,999.9
2012-01-01,2012,01,01,39.7,37.4,1021.7,999.9,3.4,5.8,999.9
2012-01-01,2012,01,01,29.2,26.2,1011.1,999.9,8.0,21.4,999.9
2012-01-01,2012,01,01,36.3,29.2,991.5,999.9,21.4,29.1,999.9
2012-01-01,2012,01,01,40.3,31.2,1016.3,999.9,3.2,7.0,999.9
2012-01-01,2012,01,01,0.4,-5.7,1012.4,999.9,1.0,4.1,999.9
2012-01-01,2012,01,01,12.0,1.2,9999.9,999.9,10.5,16.9,29.9
2012-01-01,2012,01,01,33.5,33.2,9999.9,999.9,5.5,9.9,11.1
2012-01-01,2012,01,01,26.6,25.3,9999.9,999.9,6.4,9.9,16.9
2012-01-01,2012,01,01,71.2,58.1,1016.4,999.9,2.2,8.9,999.9
2012-01-01,2012,01,01,22.2,9999.9,9999.9,999.9,999.9,999.9,999.9
2012-01-01,2012,01,01,61.6,60.5,1023.8,999.9,4.5,8.9,999.9
2012-01-01,2012,01,01,24.8,9999.9,9999.9,999.9,999.9,999.9,999.9
2012-01-01,2012,01,01,54.0,53.0,1008.0,999.9,10.6,17.5,31.1
2012-01-01,2012,01,01,66.7,50.1,1021.7,999.9,11.5,21.4,25.3
2012-01-01,2012,01,01,85.8,45.3,1011.5,999.9,8.4,12.0,999.9
2012-01-01,2012,01,01,74.3,71.3,1019.6,999.9,6.2,18.1,999.9
2012-01-01,2012,01,01,80.3,60.7,1011.7,999.9,4.2,6.0,999.9
2012-01-01,2012,01,01,88.6,37.6,1008.6,999.9,8.6,15.0,999.9
2012-01-01,2012,01,01,81.4,46.9,1009.1,999.9,10.3,19.0,999.9
2012-01-01,2012,01,01,74.1,50.8,9999.9,999.9,6.9,8.9,999.9
2012-01-01,2012,01,01,48.4,47.8,1019.6,999.9,2.5,7.0,11.1
2012-01-01,2012,01,01,45.3,43.2,9999.9,999.9,999.9,999.9,999.9
2012-01-01,2012,01,01,43.8,35.4,9999.9,999.9,999.9,999.9,999.9
2012-01-01,2012,01,01,22.3,20.5,9999.9,999.9,999.9,999.9,999.9
2012-01-01,2012,01,01,46.5,9999.9,9999.9,999.9,999.9,999.9,999.9
2012-01-01,2012,01,01,32.8,30.9,9999.9,999.9,2.0,8.9,999.9
2012-01-01,2012,01,01,14.2,8.1,1036.0,999.9,1.4,4.9,22.0
2012-01-01,2012,01,01,67.1,54.6,1015.3,999.9,5.3,13.0,999.9
2012-01-01,2012,01,01,17.5,12.7,964.2,999.9,9.8,16.9,999.9
2012-01-01,2012,01,01,76.2,64.7,9999.9,999.9,3.3,8.0,999.9
2012-01-01,2012,01,01,69.7,51.0,9999.9,999.9,2.7,5.1,999.9
2012-01-01,2012,01,01,66.2,59.9,1012.2,999.9,10.4,15.0,999.9
2012-01-01,2012,01,01,83.0,49.6,1010.9,999.9,10.0,22.0,999.9
